date,year,month,revenue_million,subscriptions_million,marketing_spend_million,ad_spend_million,avg_watch_time_hours,customer_satisfaction,competitor_price_index,gdp_growth,orders,average_order_value,content_genre,subscription_type,region,stock_price,stock_price_next_month,performance_up_next_month
2029-11-30,2029,11,8633.32,85.5,272.99,112.36,4.25,3.8,1.03,-0.73,712500,12116.94,Kids,Standard,Latin America,499.19,499.39,1
2029-12-31,2029,12,9532.77,85.34,329.88,118.47,4.03,3.65,0.94,1.9,711166,13404.42,Documentary,Basic,North America,499.39,500.92,1
2030-01-31,2030,1,8908.42,87.97,336.31,132.56,3.73,3.75,1.28,5.97,733083,12151.99,Reality,Standard,Latin America,500.92,501.62,1
2030-02-28,2030,2,8467.58,90.47,419.43,219.04,2.0,4.89,1.22,2.84,753916,11231.46,Kids,Premium,Asia-Pacific,501.62,503.48,1
2030-03-31,2030,3,8407.46,89.59,511.61,130.09,1.86,4.73,1.08,2.72,746583,11261.25,Reality,Premium,Asia-Pacific,503.48,503.79,1
2030-04-30,2030,4,8877.47,84.68,415.83,293.62,1.7,4.03,0.99,-0.37,705666,12580.27,Reality,Standard,Latin America,503.79,503.79,0
2030-05-31,2030,5,8669.7,85.91,270.25,189.34,3.67,4.48,1.27,-1.49,715916,12109.94,Documentary,Basic,North America,503.79,505.66,1
2030-06-30,2030,6,8954.94,89.84,585.23,200.3,4.29,4.31,1.04,4.98,748666,11961.19,Documentary,Basic,North America,505.66,506.45,1
2030-07-31,2030,7,8886.72,86.07,579.95,149.33,2.79,4.52,0.96,-0.8,717250,12389.99,Movies,Premium,Middle East & Africa,506.45,508.14,1
2030-08-31,2030,8,8726.9,87.65,524.82,194.19,1.86,4.52,1.13,3.57,730416,11947.85,Series,Standard,Europe,508.14,509.97,1
2030-09-30,2030,9,8498.71,89.27,596.96,232.38,3.04,4.44,1.28,5.82,743916,11424.29,Kids,Premium,Middle East & Africa,509.97,511.1,1
2030-10-31,2030,10,8302.3,86.31,440.57,250.24,2.55,3.9,0.9,0.17,719250,11543.0,Documentary,Premium,North America,511.1,512.69,1
2030-11-30,2030,11,8626.81,88.52,586.97,250.77,2.62,3.56,1.0,3.82,737666,11694.74,Kids,Basic,Latin America,512.69,512.3,0
2030-12-31,2030,12,9021.68,85.72,276.46,215.58,3.36,4.18,1.28,-0.87,714333,12629.52,Reality,Standard,Europe,512.3,513.87,1
2031-01-31,2031,1,8833.0,87.25,377.99,280.87,3.66,4.84,0.97,3.33,727083,12148.54,Series,Premium,Latin America,513.87,514.7,1
2031-02-28,2031,2,8399.05,89.16,328.88,263.48,1.83,4.35,0.95,-0.19,743000,11304.24,Movies,Basic,Middle East & Africa,514.7,516.21,1
2031-03-31,2031,3,8828.73,85.41,318.54,251.41,1.61,4.75,1.13,4.39,711750,12404.26,Kids,Premium,Asia-Pacific,516.21,516.93,1
2031-04-30,2031,4,8896.38,89.54,299.28,111.12,4.48,4.99,1.24,0.91,746166,11922.79,Series,Premium,Latin America,516.93,518.57,1
2031-05-31,2031,5,8519.63,88.69,467.84,101.38,2.2,3.75,1.09,2.21,739083,11527.3,Movies,Basic,Middle East & Africa,518.57,519.55,1
2031-06-30,2031,6,8834.91,89.91,523.46,142.49,1.66,4.54,1.3,3.3,749250,11791.67,Kids,Basic,Middle East & Africa,519.55,519.26,0
2031-07-31,2031,7,8810.26,89.32,452.4,232.7,2.07,4.51,1.17,-0.13,744333,11836.45,Series,Standard,Middle East & Africa,519.26,521.83,1
2031-08-31,2031,8,8453.91,91.67,301.44,182.24,1.62,4.97,0.93,4.43,763916,11066.54,Documentary,Premium,Asia-Pacific,521.83,522.22,1
2031-09-30,2031,9,8908.14,89.26,533.89,180.48,2.68,4.98,1.3,0.92,743833,11975.99,Kids,Standard,Asia-Pacific,522.22,523.72,1
2031-10-31,2031,10,8973.04,88.23,472.58,276.92,3.91,4.53,1.06,3.8,735250,12204.07,Series,Basic,Asia-Pacific,523.72,524.23,1
2031-11-30,2031,11,9133.72,89.4,385.86,279.11,2.52,3.87,1.01,-0.23,745000,12260.03,Movies,Basic,Europe,524.23,526.31,1
2031-12-31,2031,12,9128.95,90.31,485.95,281.84,2.83,4.7,1.12,4.0,752583,12130.16,Series,Premium,Asia-Pacific,526.31,527.24,1
2032-01-31,2032,1,8403.52,89.39,340.97,162.78,3.53,3.66,1.02,-0.47,744916,11281.16,Documentary,Standard,Asia-Pacific,527.24,528.15,1
2032-02-29,2032,2,8539.47,89.45,370.82,238.21,3.03,4.67,0.93,1.9,745416,11455.98,Kids,Standard,Asia-Pacific,528.15,529.54,1
2032-03-31,2032,3,8979.34,88.03,571.12,154.33,4.08,4.87,0.9,0.48,733583,12240.39,Kids,Premium,Latin America,529.54,531.66,1
2032-04-30,2032,4,8982.96,88.18,351.68,138.12,4.1,4.07,1.08,4.49,734833,12224.49,Kids,Premium,Asia-Pacific,531.66,532.25,1
2032-05-31,2032,5,8987.35,86.77,414.5,136.93,1.53,4.45,1.23,0.6,723083,12429.21,Documentary,Standard,Europe,532.25,534.79,1
2032-06-30,2032,6,9992.66,93.14,561.55,168.42,3.83,4.15,1.13,5.55,776166,12874.39,Movies,Basic,Middle East & Africa,534.79,536.84,1
2032-07-31,2032,7,9012.11,87.23,497.7,185.99,2.88,4.16,1.3,5.63,726916,12397.73,Kids,Basic,Latin America,536.84,537.43,1
2032-08-31,2032,8,9185.51,88.4,271.77,266.19,4.47,3.97,1.01,0.07,736666,12469.03,Movies,Premium,North America,537.43,539.0,1
2032-09-30,2032,9,9135.05,88.42,301.56,123.98,2.95,4.64,1.01,3.41,736833,12397.72,Series,Standard,Asia-Pacific,539.0,539.95,1
2032-10-31,2032,10,9048.27,91.71,252.74,246.99,4.46,4.9,0.96,-0.8,764250,11839.41,Movies,Standard,Middle East & Africa,539.95,540.7,1
2032-11-30,2032,11,8762.28,89.41,470.82,206.29,3.76,4.91,0.97,1.63,745083,11760.14,Movies,Standard,Middle East & Africa,540.7,542.51,1
2032-12-31,2032,12,9088.55,92.56,406.69,157.59,2.25,3.76,1.01,4.21,771333,11782.91,Kids,Basic,Latin America,542.51,543.62,1
2033-01-31,2033,1,8633.02,88.79,297.0,198.56,3.12,4.81,1.22,3.78,739916,11667.57,Reality,Basic,North America,543.62,545.52,1
2033-02-28,2033,2,8797.82,90.76,585.28,159.99,4.48,4.61,1.26,3.5,756333,11632.2,Reality,Standard,Europe,545.52,545.94,1
2033-03-31,2033,3,8727.26,88.6,435.38,219.22,4.07,3.88,1.29,0.76,738333,11820.22,Documentary,Standard,Middle East & Africa,545.94,547.34,1
2033-04-30,2033,4,8901.44,94.64,334.66,186.77,1.79,3.6,0.99,1.52,788666,11286.7,Documentary,Premium,Middle East & Africa,547.34,547.56,1
2033-05-31,2033,5,9575.28,88.04,425.21,132.88,3.62,3.9,1.25,-0.68,733666,13051.28,Reality,Premium,Middle East & Africa,547.56,549.38,1
2033-06-30,2033,6,8324.71,91.11,487.87,123.32,2.54,4.87,1.03,4.25,759250,10964.39,Series,Standard,Middle East & Africa,549.38,551.02,1
2033-07-31,2033,7,9094.77,91.82,276.68,209.34,1.52,4.45,0.95,2.53,765166,11886.01,Kids,Standard,Latin America,551.02,552.41,1
2033-08-31,2033,8,8409.08,91.45,346.15,280.48,2.71,4.58,1.25,4.17,762083,11034.34,Kids,Basic,North America,552.41,553.06,1
2033-09-30,2033,9,8755.32,90.33,532.44,168.79,2.2,3.89,1.15,0.49,752750,11631.11,Series,Standard,Middle East & Africa,553.06,554.15,1
2033-10-31,2033,10,9227.59,90.51,410.88,246.6,3.96,4.58,0.97,1.1,754250,12234.13,Series,Premium,Europe,554.15,554.97,1
2033-11-30,2033,11,8924.19,90.92,441.3,231.73,2.51,3.54,1.07,1.17,757666,11778.53,Reality,Basic,Europe,554.97,555.48,1
2033-12-31,2033,12,8585.59,90.61,401.49,286.31,3.98,4.06,1.01,-1.29,755083,11370.39,Documentary,Premium,Asia-Pacific,555.48,556.36,1
2034-01-31,2034,1,8698.32,92.9,265.36,264.2,1.5,4.44,1.19,1.23,774166,11235.73,Series,Premium,Middle East & Africa,556.36,558.99,1
2034-02-28,2034,2,9120.8,95.47,308.01,213.32,2.42,3.72,1.08,4.93,795583,11464.3,Documentary,Basic,Middle East & Africa,558.99,561.1,1
2034-03-31,2034,3,8701.81,90.0,405.94,231.41,2.22,4.73,1.3,5.68,750000,11602.41,Movies,Premium,Middle East & Africa,561.1,562.06,1
2034-04-30,2034,4,8989.86,88.45,323.21,279.68,2.2,3.85,0.92,2.65,737083,12196.54,Kids,Standard,Middle East & Africa,562.06,563.58,1
2034-05-31,2034,5,8942.6,91.08,267.49,179.9,1.7,4.48,1.04,2.14,759000,11782.08,Reality,Premium,Middle East & Africa,563.58,564.05,1
2034-06-30,2034,6,8737.45,96.49,545.28,165.36,2.06,4.11,1.09,-1.25,804083,10866.35,Kids,Basic,Europe,564.05,566.23,1
2034-07-31,2034,7,9580.12,89.79,593.42,102.16,3.17,4.39,1.1,5.53,748250,12803.37,Reality,Basic,North America,566.23,566.56,1
2034-08-31,2034,8,9131.12,94.74,527.6,265.31,2.37,3.66,1.03,-1.4,789500,11565.7,Movies,Basic,North America,566.56,568.09,1
2034-09-30,2034,9,8337.4,94.89,548.82,260.2,2.75,3.53,1.19,6.06,790750,10543.66,Kids,Premium,Asia-Pacific,568.09,569.34,1
2034-10-31,2034,10,9004.89,90.5,334.69,120.89,2.63,4.86,1.25,2.41,754166,11940.2,Movies,Standard,Europe,569.34,569.79,1
2034-11-30,2034,11,8754.42,92.81,586.22,215.37,4.13,3.9,1.28,1.24,773416,11319.16,Reality,Basic,Middle East & Africa,569.79,572.27,1
2034-12-31,2034,12,9212.69,95.0,318.92,192.8,4.22,4.73,1.22,5.89,791666,11637.09,Series,Standard,North America,572.27,572.67,1
2035-01-31,2035,1,8723.2,91.06,583.0,123.74,2.98,5.0,1.24,-1.3,758833,11495.55,Kids,Basic,Latin America,572.67,573.92,1
2035-02-28,2035,2,8930.54,91.48,598.19,296.11,2.49,3.82,1.12,3.15,762333,11714.75,Movies,Standard,Latin America,573.92,575.76,1
2035-03-31,2035,3,9120.47,90.79,499.1,142.94,1.82,3.9,1.23,2.89,756583,12054.82,Kids,Standard,Latin America,575.76,576.28,1
2035-04-30,2035,4,9232.7,90.0,593.4,113.45,4.36,4.49,1.02,0.25,750000,12310.27,Kids,Standard,Middle East & Africa,576.28,577.38,1
2035-05-31,2035,5,8616.89,90.8,449.34,218.97,1.68,4.95,1.06,1.93,756666,11387.97,Kids,Basic,Middle East & Africa,577.38,578.76,1
2035-06-30,2035,6,8880.63,89.72,340.84,247.77,2.39,4.87,1.03,3.72,747666,11877.8,Documentary,Premium,Asia-Pacific,578.76,581.27,1
2035-07-31,2035,7,8842.5,92.31,402.95,106.49,2.39,4.25,1.09,4.32,769250,11494.96,Movies,Premium,Asia-Pacific,581.27,582.13,1
2035-08-31,2035,8,8792.99,90.77,457.75,231.74,2.46,4.69,1.01,-1.49,756416,11624.54,Movies,Premium,Asia-Pacific,582.13,583.82,1
2035-09-30,2035,9,9522.63,92.84,275.58,206.46,1.99,3.7,1.28,5.99,773666,12308.45,Kids,Standard,Latin America,583.82,584.36,1
2035-10-31,2035,10,9118.49,89.34,467.82,120.65,3.85,4.97,1.03,-0.18,744500,12247.8,Series,Basic,Middle East & Africa,584.36,585.28,1
2035-11-30,2035,11,8622.74,93.18,593.41,134.5,1.87,4.95,0.94,0.37,776500,11104.62,Kids,Standard,Latin America,585.28,586.1,1
2035-12-31,2035,12,9280.36,94.25,316.54,213.59,3.4,3.75,1.11,0.61,785416,11815.85,Documentary,Basic,Asia-Pacific,586.1,586.31,1
2036-01-31,2036,1,9645.66,88.67,527.41,159.27,1.87,3.95,0.92,-1.2,738916,13053.8,Reality,Standard,Middle East & Africa,586.31,586.93,1
2036-02-29,2036,2,9322.75,93.48,567.76,287.66,1.71,3.65,0.94,-0.52,779000,11967.59,Documentary,Basic,Europe,586.93,589.79,1
2036-03-31,2036,3,8561.21,95.25,580.3,263.75,4.23,3.91,0.99,6.39,793750,10785.78,Series,Basic,North America,589.79,591.35,1
2036-04-30,2036,4,8875.75,90.45,586.05,296.71,2.07,4.72,1.09,1.02,753750,11775.46,Kids,Basic,North America,591.35,591.79,1
2036-05-31,2036,5,9405.1,96.28,432.51,151.93,3.96,4.07,1.07,-0.58,802333,11722.19,Movies,Standard,Asia-Pacific,591.79,591.95,1
2036-06-30,2036,6,8816.73,93.85,592.06,293.94,3.13,3.63,1.22,-0.64,782083,11273.39,Kids,Premium,Latin America,591.95,593.72,1
2036-07-31,2036,7,9166.18,91.67,515.06,186.25,1.73,4.01,1.2,4.26,763916,11998.94,Series,Standard,Europe,593.72,595.56,1
2036-08-31,2036,8,9269.43,93.04,306.59,169.5,4.37,4.97,1.07,5.34,775333,11955.42,Movies,Standard,Middle East & Africa,595.56,596.77,1
2036-09-30,2036,9,8762.96,94.33,416.92,110.07,2.24,4.44,1.03,0.56,786083,11147.63,Documentary,Basic,Latin America,596.77,597.53,1
2036-10-31,2036,10,9027.19,93.44,501.42,110.55,4.08,4.12,1.03,-1.33,778666,11593.15,Reality,Basic,Asia-Pacific,597.53,598.45,1
2036-11-30,2036,11,8076.67,94.44,336.57,238.4,2.01,3.75,1.21,0.28,787000,10262.6,Reality,Premium,Latin America,598.45,599.35,1
2036-12-31,2036,12,8745.74,91.59,474.22,191.59,4.06,4.98,0.92,-1.05,763250,11458.55,Kids,Premium,Asia-Pacific,599.35,600.15,1
2037-01-31,2037,1,8981.29,93.84,483.31,145.3,1.54,4.73,0.91,-0.67,782000,11485.03,Documentary,Basic,North America,600.15,601.1,1
2037-02-28,2037,2,8686.73,90.74,306.94,222.79,3.04,3.92,1.22,1.95,756166,11487.86,Series,Premium,North America,601.1,601.67,1
2037-03-31,2037,3,9554.79,93.42,447.78,150.57,3.81,3.61,1.09,0.34,778500,12273.33,Reality,Premium,Latin America,601.67,603.28,1
2037-04-30,2037,4,8640.03,91.9,520.07,215.53,4.3,3.58,0.95,2.63,765833,11281.87,Documentary,Basic,Europe,603.28,604.73,1
2037-05-31,2037,5,8941.06,92.31,424.61,171.84,4.23,3.68,0.99,0.53,769250,11623.09,Kids,Standard,Middle East & Africa,604.73,607.2,1
2037-06-30,2037,6,9116.3,96.32,254.24,264.71,3.96,4.37,1.27,6.02,802666,11357.53,Movies,Premium,Asia-Pacific,607.2,609.37,1
2037-07-31,2037,7,9513.46,96.1,253.16,264.14,4.16,4.89,1.24,5.75,800833,11879.46,Kids,Basic,Middle East & Africa,609.37,611.25,1
2037-08-31,2037,8,8654.33,95.21,374.96,195.47,2.1,4.25,1.18,3.03,793416,10907.68,Kids,Premium,North America,611.25,613.18,1
2037-09-30,2037,9,9438.04,91.87,574.17,170.16,2.35,4.76,1.09,1.34,765583,12327.91,Documentary,Premium,Europe,613.18,614.49,1
2037-10-31,2037,10,9096.16,93.5,330.04,172.51,2.37,4.17,1.11,1.55,779166,11674.23,Reality,Basic,Europe,614.49,615.92,1
2037-11-30,2037,11,8802.64,96.63,472.03,261.14,2.63,4.56,1.29,1.79,805250,10931.56,Documentary,Premium,Middle East & Africa,615.92,617.99,1
2037-12-31,2037,12,9239.73,94.55,327.73,165.64,2.68,4.6,1.29,4.32,787916,11726.8,Movies,Premium,North America,617.99,619.25,1
2038-01-31,2038,1,9164.82,98.98,362.58,141.81,3.13,3.76,0.99,2.11,824833,11111.12,Documentary,Premium,Middle East & Africa,619.25,621.27,1
2038-02-28,2038,2,8929.04,95.2,546.81,116.94,1.98,4.04,1.22,5.35,793333,11255.1,Series,Standard,Latin America,621.27,623.7,1
2038-03-31,2038,3,9134.05,94.86,505.1,193.34,3.57,4.46,0.98,6.05,790500,11554.78,Kids,Standard,Europe,623.7,625.16,1
2038-04-30,2038,4,9001.52,93.93,283.39,196.43,2.0,3.61,0.99,1.19,782750,11499.87,Reality,Premium,Europe,625.16,626.94,1
2038-05-31,2038,5,9155.18,94.89,400.05,268.18,2.43,4.04,1.17,2.99,790750,11577.84,Movies,Basic,Latin America,626.94,627.7,1
2038-06-30,2038,6,9323.76,94.38,260.21,144.25,3.01,4.3,1.06,-0.74,786500,11854.75,Kids,Premium,North America,627.7,628.51,1
2038-07-31,2038,7,9604.93,96.18,418.31,176.2,3.89,4.99,1.27,0.1,801500,11983.69,Documentary,Premium,Europe,628.51,629.59,1
2038-08-31,2038,8,8761.79,96.74,481.85,261.68,3.72,4.21,0.94,1.81,806166,10868.47,Series,Standard,Asia-Pacific,629.59,630.57,1
2038-09-30,2038,9,9777.05,93.33,291.48,264.72,3.44,4.72,1.1,0.15,777750,12570.94,Documentary,Standard,Asia-Pacific,630.57,632.24,1
2038-10-31,2038,10,8555.51,92.31,351.11,176.92,1.97,4.15,1.27,5.51,769250,11121.88,Kids,Standard,North America,632.24,632.5,1
2038-11-30,2038,11,9099.61,91.37,389.24,191.82,3.14,4.69,1.26,-0.23,761416,11950.9,Movies,Premium,Latin America,632.5,634.5,1
2038-12-31,2038,12,9325.64,96.13,571.84,160.66,1.76,4.39,0.96,2.15,801083,11641.29,Reality,Premium,Middle East & Africa,634.5,636.52,1
2039-01-31,2039,1,9237.45,92.97,597.64,286.51,2.63,4.83,1.05,3.35,774750,11923.14,Kids,Basic,North America,636.52,638.06,1
2039-02-28,2039,2,8970.35,90.94,265.72,123.73,2.74,4.12,1.15,4.03,757833,11836.84,Movies,Premium,Middle East & Africa,638.06,639.1,1
2039-03-31,2039,3,9098.72,96.1,516.35,286.75,1.62,4.41,0.96,1.56,800833,11361.57,Kids,Premium,North America,639.1,641.23,1
2039-04-30,2039,4,9017.26,100.38,380.1,236.77,2.32,4.45,1.29,5.45,836500,10779.75,Series,Standard,Asia-Pacific,641.23,643.06,1
2039-05-31,2039,5,8992.36,95.45,387.36,206.31,4.37,4.13,1.27,3.05,795416,11305.23,Documentary,Standard,Latin America,643.06,644.87,1
2039-06-30,2039,6,9428.05,97.21,513.99,106.53,4.36,3.72,0.97,2.02,810083,11638.38,Reality,Standard,Asia-Pacific,644.87,645.55,1
2039-07-31,2039,7,9284.28,95.76,571.45,195.12,2.56,3.64,0.95,-0.96,798000,11634.44,Movies,Standard,Latin America,645.55,647.16,1
2039-08-31,2039,8,8973.31,95.47,582.83,181.55,1.63,3.53,0.93,2.22,795583,11278.91,Reality,Standard,Middle East & Africa,647.16,648.82,1
2039-09-30,2039,9,9455.07,97.58,451.99,132.24,2.04,4.81,1.26,5.07,813166,11627.48,Reality,Basic,North America,648.82,650.05,1
2039-10-31,2039,10,9281.38,95.23,374.99,231.28,2.68,3.85,0.98,3.42,793583,11695.54,Reality,Basic,Europe,650.05,652.92,1
2039-11-30,2039,11,9437.05,96.42,525.64,294.23,4.34,3.82,1.07,5.16,803500,11744.93,Movies,Basic,Europe,652.92,654.78,1
2039-12-31,2039,12,9386.09,96.59,337.85,212.44,1.92,4.6,1.08,2.45,804916,11660.96,Movies,Standard,Latin America,654.78,655.46,1
2040-01-31,2040,1,8952.5,94.68,447.43,242.95,3.79,3.98,1.14,-0.55,789000,11346.64,Reality,Standard,Latin America,655.46,656.28,1
2040-02-29,2040,2,9037.15,98.08,375.5,113.69,1.83,4.26,0.93,-1.39,817333,11056.88,Documentary,Standard,Asia-Pacific,656.28,657.04,1
2040-03-31,2040,3,9433.4,95.81,479.82,183.53,4.44,3.74,0.99,0.93,798416,11815.14,Kids,Basic,Europe,657.04,659.23,1
2040-04-30,2040,4,9396.32,94.72,334.14,123.27,2.64,4.94,1.27,4.08,789333,11904.13,Reality,Standard,Asia-Pacific,659.23,661.05,1
2040-05-31,2040,5,9210.95,97.37,317.06,222.56,3.83,4.78,1.26,4.82,811416,11351.7,Series,Basic,Middle East & Africa,661.05,662.34,1
2040-06-30,2040,6,9256.42,94.57,571.38,287.7,2.53,4.8,1.21,0.87,788083,11745.49,Reality,Standard,Europe,662.34,664.21,1
2040-07-31,2040,7,9608.52,96.5,285.63,232.36,3.38,4.11,0.91,2.47,804166,11948.43,Movies,Premium,Middle East & Africa,664.21,665.81,1
2040-08-31,2040,8,9051.76,96.49,427.09,115.36,2.08,4.64,1.03,1.87,804083,11257.25,Kids,Basic,North America,665.81,666.9,1
2040-09-30,2040,9,9397.36,98.75,327.3,170.93,1.94,3.72,1.15,1.78,822916,11419.59,Series,Premium,Asia-Pacific,666.9,667.67,1
2040-10-31,2040,10,9176.58,97.6,263.63,210.13,4.31,3.51,1.01,0.35,813333,11282.68,Kids,Basic,Latin America,667.67,668.47,1
2040-11-30,2040,11,9175.94,96.67,262.61,180.64,4.25,3.53,1.26,-0.41,805583,11390.43,Kids,Standard,Europe,668.47,669.6,1
2040-12-31,2040,12,9574.88,98.43,311.33,266.73,4.16,4.38,1.15,0.07,820250,11673.12,Series,Standard,Asia-Pacific,669.6,670.69,1
2041-01-31,2041,1,9496.87,99.64,553.37,262.93,3.38,4.18,0.93,-1.06,830333,11437.42,Reality,Premium,Latin America,670.69,671.75,1
2041-02-28,2041,2,9497.31,98.05,348.87,222.37,3.92,4.28,1.26,0.09,817083,11623.43,Reality,Standard,North America,671.75,671.63,0
2041-03-31,2041,3,9648.9,97.02,582.66,174.69,1.71,3.51,1.28,-1.43,808500,11934.32,Reality,Basic,Europe,671.63,673.91,1
2041-04-30,2041,4,9267.56,94.45,453.57,151.07,2.5,4.13,0.93,3.52,787083,11774.57,Documentary,Standard,Middle East & Africa,673.91,675.07,1
2041-05-31,2041,5,9469.85,95.01,402.81,121.17,2.44,4.58,1.11,1.03,791750,11960.66,Reality,Standard,North America,675.07,678.1,1
2041-06-30,2041,6,9176.19,96.6,453.03,170.98,3.41,4.16,1.02,6.29,805000,11398.99,Series,Basic,Latin America,678.1,678.6,1
2041-07-31,2041,7,9370.52,96.06,430.84,182.63,2.57,4.6,1.06,0.05,800500,11705.83,Documentary,Premium,Europe,678.6,680.2,1
2041-08-31,2041,8,9238.23,96.98,515.57,235.16,1.95,3.85,0.97,1.27,808166,11431.1,Reality,Premium,Europe,680.2,681.81,1
2041-09-30,2041,9,9310.38,97.54,348.87,231.63,3.29,4.72,1.13,1.36,812833,11454.23,Documentary,Standard,North America,681.81,682.01,1
2041-10-31,2041,10,9463.83,98.55,373.57,114.02,3.94,4.38,1.28,-1.43,821250,11523.69,Series,Basic,Europe,682.01,684.12,1
2041-11-30,2041,11,9043.82,97.42,562.93,179.05,2.65,3.82,1.1,5.21,811833,11140.0,Reality,Premium,Latin America,684.12,684.82,1
2041-12-31,2041,12,9921.01,98.61,581.26,136.36,1.9,3.86,0.93,-1.24,821750,12073.03,Movies,Premium,North America,684.82,687.64,1
2042-01-31,2042,1,8995.49,97.83,562.4,131.36,2.09,4.44,1.15,6.02,815250,11034.03,Series,Standard,Middle East & Africa,687.64,690.11,1
2042-02-28,2042,2,8937.04,93.82,396.81,265.46,2.21,4.74,1.04,5.64,781833,11430.88,Kids,Basic,North America,690.11,692.18,1
2042-03-31,2042,3,9652.74,95.96,523.13,108.38,2.4,4.12,1.24,2.78,799666,12070.96,Kids,Premium,North America,692.18,694.04,1
2042-04-30,2042,4,9546.81,97.62,416.72,183.84,3.43,3.89,1.07,2.85,813500,11735.48,Series,Standard,Middle East & Africa,694.04,696.4,1
2042-05-31,2042,5,9500.55,95.56,424.14,133.64,3.3,4.8,0.98,3.73,796333,11930.37,Kids,Standard,Latin America,696.4,698.45,1
2042-06-30,2042,6,9505.82,99.25,321.64,275.87,3.59,4.5,0.98,1.6,827083,11493.19,Series,Standard,Asia-Pacific,698.45,700.68,1
2042-07-31,2042,7,9317.65,101.18,456.9,211.41,2.59,4.17,1.21,3.68,843166,11050.79,Movies,Standard,Asia-Pacific,700.68,701.59,1
2042-08-31,2042,8,9056.15,100.63,315.15,146.28,3.97,4.23,1.01,-1.14,838583,10799.35,Series,Premium,Middle East & Africa,701.59,702.09,1
2042-09-30,2042,9,9352.07,97.84,366.05,200.49,2.11,3.81,1.21,-1.07,815333,11470.25,Reality,Basic,Latin America,702.09,703.98,1
2042-10-31,2042,10,9130.18,101.31,549.26,246.3,2.91,4.44,0.98,2.16,844250,10814.55,Reality,Standard,Europe,703.98,706.13,1
2042-11-30,2042,11,9629.87,98.7,322.48,291.62,3.9,4.04,1.03,2.9,822500,11708.05,Documentary,Standard,Middle East & Africa,706.13,708.5,1
2042-12-31,2042,12,9297.22,97.8,274.91,144.09,2.04,4.99,1.09,5.6,815000,11407.63,Kids,Premium,Asia-Pacific,708.5,709.38,1
2043-01-31,2043,1,9097.7,97.32,274.15,277.24,1.83,4.22,1.28,-0.66,811000,11217.88,Kids,Standard,Latin America,709.38,711.64,1
2043-02-28,2043,2,9252.93,98.01,579.27,286.86,4.15,4.23,1.27,5.08,816750,11328.96,Series,Standard,North America,711.64,712.53,1
2043-03-31,2043,3,9477.23,97.91,427.42,283.28,2.53,4.35,0.98,0.18,815916,11615.45,Kids,Basic,Latin America,712.53,714.39,1
2043-04-30,2043,4,9188.24,99.09,393.29,227.08,3.55,4.88,1.04,1.65,825750,11127.15,Reality,Standard,Latin America,714.39,716.02,1
2043-05-31,2043,5,9114.7,99.14,533.81,225.96,1.58,4.7,0.96,1.03,826166,11032.53,Movies,Premium,Asia-Pacific,716.02,717.44,1
2043-06-30,2043,6,9438.47,98.9,542.54,180.64,3.57,4.18,1.1,1.7,824166,11452.15,Series,Basic,Asia-Pacific,717.44,718.65,1
2043-07-31,2043,7,9442.86,99.84,366.27,250.48,2.45,4.58,1.08,-0.3,832000,11349.59,Kids,Premium,Europe,718.65,720.24,1
2043-08-31,2043,8,9221.29,101.42,492.77,206.26,1.67,4.38,1.26,2.53,845166,10910.63,Reality,Basic,Europe,720.24,722.61,1
2043-09-30,2043,9,9236.07,101.0,519.89,235.49,3.33,4.24,1.27,4.91,841666,10973.56,Documentary,Basic,Middle East & Africa,722.61,724.09,1
2043-10-31,2043,10,9451.0,96.2,479.13,185.69,2.22,3.79,1.05,2.03,801666,11789.2,Kids,Standard,North America,724.09,725.09,1
2043-11-30,2043,11,8950.96,94.14,303.06,246.3,2.66,4.2,1.1,2.42,784500,11409.76,Movies,Standard,Europe,725.09,727.38,1
2043-12-31,2043,12,8967.15,101.18,556.56,264.89,1.74,3.87,1.26,5.29,843166,10635.09,Movies,Standard,Asia-Pacific,727.38,729.28,1
2044-01-31,2044,1,9177.86,96.65,438.68,129.29,1.94,4.87,1.22,4.15,805416,11395.18,Kids,Premium,Latin America,729.28,731.38,1
2044-02-29,2044,2,9333.36,99.0,348.87,266.59,2.39,4.0,0.9,2.42,825000,11313.16,Kids,Standard,Middle East & Africa,731.38,733.01,1
2044-03-31,2044,3,9494.67,97.18,398.83,208.06,1.77,4.93,1.03,0.56,809833,11724.23,Reality,Standard,Europe,733.01,735.31,1
2044-04-30,2044,4,9848.01,95.99,263.15,268.93,4.23,4.3,1.07,5.58,799916,12311.31,Kids,Basic,Latin America,735.31,737.26,1
2044-05-31,2044,5,9666.71,100.75,294.75,186.26,1.52,4.45,0.99,3.12,839583,11513.7,Documentary,Standard,Latin America,737.26,738.22,1
2044-06-30,2044,6,9365.43,101.25,517.94,175.81,2.95,4.31,0.98,0.27,843750,11099.77,Reality,Standard,Europe,738.22,739.37,1
2044-07-31,2044,7,9411.71,98.65,250.0,283.01,1.87,3.69,0.92,0.65,822083,11448.61,Series,Standard,North America,739.37,741.36,1
2044-08-31,2044,8,9120.66,94.69,395.8,150.23,2.42,4.06,1.16,4.93,789083,11558.56,Documentary,Standard,North America,741.36,741.82,1
2044-09-30,2044,9,9419.87,98.85,432.88,268.84,4.28,3.65,1.01,-1.15,823750,11435.35,Reality,Basic,Middle East & Africa,741.82,745.14,1
